73,FF0B,0206,2B06,3806,8006
0C,0DAC,062E,063C,0681,0675
0C,0DAD,062C,063A,0680,0674
0C,0DAE,062B,0639,0680,0672
0C,0DAF,062B,0637,067F,0672
0C,0DB0,062C,063A,0681,0674
0C,0DB1,062E,063B,0681,0675
0C,0DB2,062C,063A,0680,0674
0C,0DB3,062B,0638,0680,0672
0C,0DB4,062A,0638,067F,0672
0C,0DB5,062C,063A,0681,0674
0C,0DB6,062D,063B,0682,0676
0C,0DB7,062C,063A,0681,0674
0C,0DB8,062C,0638,0680,0673
0C,0DB9,062B,0637,067F,0672
0C,0DBA,062C,063B,0680,0674
0C,0DBB,062E,063B,0681,0675
0C,0DBC,062C,063A,0681,0674
0C,0DBD,062C,0638,0680,0673
0C,0DBE,062B,0638,067F,0672
0C,0DBF,062C,063B,0680,0674
0C,0DC0,062D,063B,0681,0675
0C,0DC1,062D,063A,0680,0674
0C,0DC2,062B,0637,0680,0673
0C,0DC3,062A,0638,067F,0672
